partei,listenNr,name,alter
CSU,1,Leonhard Spitzauer,34
CSU,2,Florian Pöhlmann,28
CSU,3,Christine Mitterer,53
CSU,4,Dr. Michael Niebler,57
CSU,5,Benedikt Weber,31
CSU,6,Theresa Fauth,23
CSU,7,Stefan Huber,45
CSU,8,Philipp Trepte,21
CSU,9,Annabell Wegener,37
CSU,10,Michelino Capezzuto-Zehetmeier,54
CSU,11,Maria Weindl,34
CSU,12,Josef Schmid,68
CSU,13,Albert Wirth,53
CSU,14,Franziska Decker,22
CSU,15,Manfred Vodermair,59
CSU,16,Korbinian Ederer,27
CSU,17,Hannelore Vodermair,52
CSU,18,Theodor Bader,72
CSU,19,Ilona Dreier,51
CSU,20,Florian Noack,28
CSU,21,Maria Fuchs,37
CSU,22,Carl Faltermeier,51
CSU,23,Johann Huber,57
CSU,24,Wolfgang Estermann,45
CSU,25,Martina Thalmeier,54
CSU,26,Karoline Kulzer,52
CSU,27,Jutta Löbert,50
CSU,28,Maximilian Mack,34
CSU,29,Veronika Reinefeld,
CSU,30,Michael Kundler,48
Grüne,1,David Göhler,54
Grüne,2,Katrin Pumm,40
Grüne,3,Dr. Elisabeth Mundelius,59
Grüne,4,Axel Weingärtner,56
Grüne,5,Ulrike Pfeiffer,60
Grüne,6,Stefan Ruoff,58
Grüne,7,Monika Kalberlah,63
Grüne,8,Thomas Mair,58
Grüne,9,Marina Ruoff,18
Grüne,10,Felix Edelmann,19
Grüne,11,Christina Niedermayer,68
Grüne,12,Gerd Baldermann,50
Grüne,13,Emma Müller,18
Grüne,14,Dr. Sebastian Rehfeldt,41
Grüne,15,Doris Häuser,62
Grüne,16,Günter Mader,57
Grüne,17,Ana Müller,37
Grüne,18,Dominik Hübner,46
Grüne,19,Julia Schölzel,48
Grüne,20,Florian Blacha,20
Grüne,21,Stephanie Rihm-Stadler,43
Grüne,22,Günter Glier,74
Grüne,23,Sarah Onken,39
Grüne,24,Lothar Pickelmann,66
Grüne,25,Friederike Michael,25
Grüne,26,Gustav Lorenz,65
Grüne,27,Maria Herber,67
Grüne,28,Georg Graupner,29
Grüne,29,Melanie Kirchlechner,58
Grüne,30,Johannes von der Forst,42
FW,1,Roland Meier,
FW,2,Dr. Bianca Dusi-Färber,
FW,3,Wolfgang Schermann,
FW,4,Achim Burgstaller,
FW,5,Herbert Uhl,
FW,6,Kerstin Rudat,
FW,7,Sonja Kiran,
FW,8,Tamara Stein,
FW,9,Ralf Steinbacher,
FW,10,Anna Russo-Baumann,
FW,11,Thomas Feckl,
FW,12,Judith Heymann,
FW,13,Alfred Kübler,
FW,14,Eleonore Wagner,
FW,15,Boris Fuhrmann,
FW,16,Sonja Danner,
FW,17,Dr. Edmund Weigert,
FW,18,Erika Kleiner,
FW,19,Peter Meier,
FW,20,Alexandra Becker,
FW,21,Udo Ricke,
FW,22,Anna Link,
FW,23,Werner Kümmel,
FW,24,Regina Meier,
FW,25,Peter Reitsberger,
FW,26,Diana Stein,
FW,27,Daniel Mini,
FW,28,Simone Hoffmann,
FW,29,Gunnar Blecher,
FW,30,Klaus Färber,
AfD,1,Brigitte Fischbacher,
AfD,2,Heidelinde Pelz,
AfD,3,Manfred Schmidt,
AfD,4,Michael Delaney,
AfD,5,Ute Schmidt,
AfD,6,Marion Madl,
AfD,7,Helga Steinberger,
AfD,8,Herbert Pachner,
AfD,9,Oskar Troll,
AfD,10,Renate Pachner,
AfD,11,Leonie Senckpiehl,
AfD,12,Stilla Gerer,
AfD,13,Gudrun Kortas,
AfD,14,Jan Piskora,
AfD,15,Irene Lorenz,
AfD,16,Jolanta Szkaranda,
AfD,17,Frieda Erlbeck,
AfD,18,Dorothee Strohm,
AfD,19,Erna Krippner,
AfD,20,Conchita Schuster,
AfD,21,Robert Steinberger,
AfD,22,Emma Eglseer,
AfD,23,Gerhard Koppelmann,
SPD,1,Maria Wirnitzer,
SPD,2,Josef Mittermeier,
SPD,3,Cordula Koch,
SPD,4,Raphael Melcher,
SPD,5,Kristina Kleinmagd-Kalteis,
SPD,6,Günter Lenz,
SPD,7,Eva Hemauer,
SPD,8,Andreas Zink,
